file_id, prod_id, transcribe
0039f5811fb21fdcf96bc4f032ecbb33, rf, "The regional forecast."
030f41e32ba26519a65ead64eae8e366, cc, "Coming up, a look at your local radar, but first the current local conditions."
04cb8ca2686af85a01a8c2a2d259c94e, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
051d4c2925ef453ca194d2cc440acfdb, cc, "Coming up, a look at your local radar, but first the current local conditions."
0549b8da610f6791ebc1e7b1cc792d94, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
05b89d7551bf7572f168db877c7fff08, lu, "Coming up, but first, an update on local weather conditions from the National Weather Service."
05ce3ce006dc86c18dcabb9b44561217, ex, "The extended forecast."
061f0b9c06e3086e20094298b43142ec, hr, "Your local 36 hour forecast."
06684d2fcbdb3dec8e3c9bc8595fc2b7, rf, "Today's regional forecast."
0926c3f8a88d5a72f641554741bd68ef, cr, "The current radar showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
0a5d7f75abdc3e764b2c4a83f4a6aedc, rc, "Current regional conditions."
0b3cec4441cb2199ac4e056ae0dd7c5e, lu, "An update on local weather conditions from the national weather service."
0bd9383528584adeae767212c3a01fa7, rf, "The regional forecast."
0c685eda388ff98dba380cb51147f336, ex, "The extended forecast."
0dae0b3a2999edafd2d8e09f896a83ca, hr, "Coming up, a look at your local radar. But first, the 36 hour forecast."
0f5521668ff31cb869400b2554d16af1, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
1064bba60f171e85839aa66ec3d6a60e, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
11247469962826a99b60ca98339b0b98, hr, "Your local 36 hour forecast from the National Weather Service."
13714560b49fddc0175197613de6b550, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
13cd308f37aaa0268c8f73663d512982, ex, "The extended forecast."
140377de540b9ab83d2875d10451331c, rf, "The regional forecast."
1573ffd889f4d9834db5ad108afdd3fd, ol, "Your region's long range outlook."
170f2b6b86cda61c64cc8e05b97a8b7d, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
17d97831da3c81b75761118d59a7419d, tf, "The forecast for cities nationwide."
185ddfb76821aaf95ccdce4f11692d86, tf, "The forecast for cities nationwide."
18f5c26e583e018443f51d829cfbb195, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
198c31767d94fb4451ce245956ddbe2a, tf, "Today's forecast for cities nationwide."
19b38f2d3ca403c91cfbaa6f4f593d7f, al, "Special regional information."
1daacbf90e8bdf4d503cd268ab64cb22, rc, "Regional conditions"
1e51e63f749ddad81640167e6eebc806, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
1e928d63c918d2aaf3279b15842880f6, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
213201f513eb5dca30a6635a7b75d235, ex, "The extended forecast."
21467466b0d62c3a2466d4b2040f846e, rf, "Today's regional forecast."
228798dc360f42fd757a63e6d7b1a842, cc, "Coming up, a look at your local radar, but first the current local conditions."
237d0761a60b0b37f54e4a9e4e2206b1, hr, "The 36 hour forecast."
244d42c8b666e92d0ef317d03dac55dc, rf, "The regional forecast."
261e6feb20cc20c1ab512dc041fab060, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
269cf377c82e9f26f272bfafab435c3f, rc, "Current regional conditions."
2708c1751bccb452f186963adb2b946b, cc, "The current conditions."
281622716ce8d584e08e15e814f49667, cc, "The current conditions."
29ca8ed70a4f89b76e09d4dcf9d7a14e, al, "Special regional information."
2a8db0d446b8e1b8c077de5fe3984e33, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
2acb4695b04fe37b5545c37b9032ea2b, rf, "Today's regional forecast."
2ace9079179fa2b3841b8805257410eb, lr, "Your local radar, showing any precipitation and its movement during the past 90 minutes. Intensity is indicated by the color code at the top of the screen."
2aeca7a3e904fef08faf2c4dbd86d447, ex, "The extended forecast."
2ca1831c0df0291c557453a1124792ab, hr, "Coming up, a look at your local radar. But first, the 36 hour forecast from the National Weather Service."
2ece8f83f14dddcd6de63010f4342184, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
30d4571e0d601952624596d331e1a7ce, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
30d8d4cb22bed2e82e734482f425a67a, rc, "Current regional conditions."
32333da402d68f8b2967dce1ae9b8a86, rf, "The regional forecast."
32bd1f86eee37dc94f680eda209110d0, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
35309bddfaed4e5aece1561e7aeaebae, hr, "Your local 36 hour forecast."
3599c32da8e7a7c6ed9b8c4ea815be1f, tf, "The forecast for cities nationwide."
40b10021bafa7436945e8df68a05a1a6, al, "Special regional information."
40e17ac99c8848326452aef4fad79a18, ex, "The extended forecast."
428599db0b6080e6496c40ff24408370, rc, "Current regional conditions."
4562d3553e4eb0e38a743360257cb046, cc, "Coming up, a look at your local radar, but first the current local conditions."
46739a3c25a03801ff7cc2591c8c09e0, hr, "Coming up, a look at your local radar. But first, the 36 hour forecast from the National Weather Service."
48593c7b52e4c687121f3eccc009cc9a, lr, "The current local radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
49abe74d928ebc36160479f84797654f, cr, "The current radar, showing any precipitation in your area. Intensity is indicated by the color code at the top of the screen."
4b71dee100340cb09a77547bf136ece2, rf, "Today's regional forecast."
4b7cb48e127d34b536c775c9823e6839, hr, "Your local 36 hour forecast."
4bab26d5bba1113dca042cf061906631, ex, "The extended forecast."
4eafb42b57a6afefacdb598db94f8fd0, rf, "The regional forecast."
4fb2d4f61b285f28e920dab77c3baeb8, cc, "The current conditions."
